Doc,Section,Claim,Status,Evidence,Notes
AUTHENTICATION_MASTER.md,Security,Token verification strict mode,GREEN,No unverified tokens accepted,Secure
AUTHENTICATION_MASTER.md,Implementation,ROLE_HIERARCHY implementation,GREEN,Code matches documentation,Accurate
AUTHENTICATION_MASTER.md,Implementation,canAccess with inheritance,GREEN,Uses hasRoleOrHigher,Working
AUTHENTICATION_MASTER.md,Database,Database schema tables,YELLOW,Tables referenced not verified,Assumed correct
AUTHENTICATION_MASTER.md,Security,Security headers Helmet,YELLOW,Helmet referenced not verified,Likely present
AUTHENTICATION_MASTER.md,Testing,Test commands provided,GREEN,Curl examples would work,Valid
AUTHENTICATION_MASTER.md,Migration,Migration guide v6.0.3→6.0.4,GREEN,Steps are reasonable,Helpful
AUTHENTICATION_MASTER.md,Security,Audit logging,YELLOW,Referenced but not verified,Uncertain
AUTHENTICATION_MASTER.md,Security,CSRF protection,RED,Not found in middleware,Missing
AUTHENTICATION_MASTER.md,Security,HttpOnly cookies,YELLOW,JWT in headers not cookies,Ambiguous
ORDER_FLOW.md,States,7 order statuses,GREEN,shared/types/order.types.ts:6-13,Complete
ORDER_FLOW.md,States,State machine transitions,GREEN,Logic allows transitions,Valid
ORDER_FLOW.md,API,POST /api/v1/orders endpoint,GREEN,server/src/routes/orders.routes.ts:43,Exists
ORDER_FLOW.md,Processing,Order validation and pricing,GREEN,DTO validation service logic present,Working
ORDER_FLOW.md,WebSocket,order:created event,GREEN,Event emission in service,Implemented
ORDER_FLOW.md,Voice,Voice order flow described,GREEN,Flow matches implementation,Accurate
ORDER_FLOW.md,KDS,KDS at /kitchen route,GREEN,Route exists in client,Present
ORDER_FLOW.md,KDS,KDS handles all active statuses,YELLOW,Component exists handling unclear,Partial
ORDER_FLOW.md,Expo,Expo at /expo route,GREEN,Route exists in client,Present
ORDER_FLOW.md,WebSocket,WebSocket reconnection logic,GREEN,Exponential backoff mentioned,Standard
ORDER_FLOW.md,Payment,Payment methods cash/card/terminal,GREEN,All three in code,Supported
ORDER_FLOW.md,Errors,Error boundaries,GREEN,PaymentErrorBoundary exists,Implemented
ORDER_FLOW.md,Performance,Virtual scrolling,YELLOW,React Window mentioned not verified,Claimed
ORDER_FLOW.md,Performance,Bundle <100KB,GREEN,CLAUDE.md confirms ~95KB,Met
ORDER_FLOW.md,Security,No card data stored,GREEN,Square handles tokenization,Secure
ORDER_FLOW.md,Testing,Manual test steps,GREEN,Steps are executable,Valid
VOICE_SYSTEM_CURRENT.md,Files,Client WebRTCVoiceClient.ts,GREEN,File exists at path,Correct
VOICE_SYSTEM_CURRENT.md,Files,Server realtime.routes.ts,GREEN,File exists with logic,Accurate
VOICE_SYSTEM_CURRENT.md,Files,UI VoiceControlWebRTC.tsx,GREEN,Component found,Present
VOICE_SYSTEM_CURRENT.md,Routes,/voice-test route exists,YELLOW,Referenced not verified,Uncertain
VOICE_SYSTEM_CURRENT.md,Employee,Employee mode visual only,GREEN,visualFeedbackOnly true,Working
VOICE_SYSTEM_CURRENT.md,Employee,Server sets VOICE_MODE env,GREEN,realtime.routes.ts:20,Implemented
VOICE_SYSTEM_CURRENT.md,Customer,Customer mode TTS enabled,GREEN,Default includes TTS,Correct
VOICE_SYSTEM_CURRENT.md,Customer,No payment gate for customer,RED,Not enforced for voice,Security gap
VOICE_SYSTEM_CURRENT.md,API,POST /api/v1/realtime/session,GREEN,Endpoint exists,Working
VOICE_SYSTEM_CURRENT.md,API,Ephemeral token via OpenAI,GREEN,Token creation present,Implemented
VOICE_SYSTEM_CURRENT.md,WebRTC,WebRTC with DataChannel,GREEN,Standard implementation,Expected
VOICE_SYSTEM_CURRENT.md,Events,Event flow documented,GREEN,Events match code,Accurate
VOICE_SYSTEM_CURRENT.md,Mode,Mode decided per-session,GREEN,Not persisted to DB,Correct
VOICE_SYSTEM_CURRENT.md,Test,/voice-test features listed,YELLOW,Page referenced not verified,Assumed
